#name                              A/B   FEC       mfec      mfecch    hubid     port      rocid     FEDid     FEDch     roc# 
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC0         A        10      1     1     15      0      0      1307       31     0
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC1         A        10      1     1     15      0      1      1307       31     1
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC2         A        10      1     1     15      0      2      1307       31     2
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC3         A        10      1     1     15      0      3      1307       31     3
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC4         A        10      1     1     15      1      4      1307       31     4
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC5         A        10      1     1     15      1      5      1307       31     5
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC6         A        10      1     1     15      1      6      1307       31     6
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC7         A        10      1     1     15      1      7      1307       31     7
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC8         B        10      1     1     15      2      8      1307       32     0
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC9         B        10      1     1     15      2      9      1307       32     1
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC10         B        10      1     1     15      2      10      1307       32     2
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC11         B        10      1     1     15      2      11      1307       32     3
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC12         B        10      1     1     15      3      12      1307       32     4
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC13         B        10      1     1     15      3      13      1307       32     5
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC14         B        10      1     1     15      3      14      1307       32     6
FPix_BmO_D1_BLD11_PNL2_RNG1_ROC15         B        10      1     1     15      3      15      1307       32     7
FPix_BmO_D1_BLD10_PNL2_RNG1_ROC0         A        10      1     1     14      0      0      1307       7     0
FPix_BmO_D1_BLD10_PNL2_RNG1_ROC1         A        10      1     1     14      0      1      1307       7     1
FPix_BmO_D1_BLD10_PNL2_RNG1_ROC2         A        10      1     1     14      0      2      1307       7     2
FPix_BmO_D1_BLD10_PNL2_RNG1_ROC3         A        10      1     1     14      0      3      1307       7     3
FPix_BmO_D1_BLD10_PNL2_RNG1_ROC4         A        10      1     1     14      1      4      1307       7     4
FPix_BmO_D1_BLD10_PNL2_RNG1_ROC5         A        10      1     1     14      1      5      1307       7     5
FPix_BmO_D1_BLD10_PNL2_RNG1_ROC6         A        10      1     1     14      1      6      1307       7     6
FPix_BmO_D1_BLD10_PNL2_RNG1_ROC7         A        10      1     1     14      1      7      1307       7     7
